Event,Year,Domain,Day,Normalized_Price,Daily_Return_Pct
iPod Launch,2001,Consumer Electronics,-30,102.26009504518679,1.64384752078508
iPod Launch,2001,Consumer Electronics,-29,97.68466497974023,-4.474306486244473
iPod Launch,2001,Consumer Electronics,-28,95.25882809740467,-2.4833343932117558
iPod Launch,2001,Consumer Electronics,-27,95.75520999955299,0.5210875590877295
iPod Launch,2001,Consumer Electronics,-26,93.66035281712917,-2.187721359948569
iPod Launch,2001,Consumer Electronics,-25,89.74620288168171,-4.179089462848584
iPod Launch,2001,Consumer Electronics,-24,93.8257988432254,4.545703139019808
iPod Launch,2001,Consumer Electronics,-23,86.43870115721283,-7.873205213371803
iPod Launch,2001,Consumer Electronics,-22,86.71435323433231,0.31889891151664074
iPod Launch,2001,Consumer Electronics,-21,90.68341994388793,4.577173860513972
iPod Launch,2001,Consumer Electronics,-20,85.66690820917303,-5.5318951775517045
iPod Launch,2001,Consumer Electronics,-19,83.51706303886914,-2.5095398156014026
iPod Launch,2001,Consumer Electronics,-18,85.50143479316453,2.376007587062623
iPod Launch,2001,Consumer Electronics,-17,85.50143479316453,0.0
iPod Launch,2001,Consumer Electronics,-16,85.66690820917303,0.19353291135850714
iPod Launch,2001,Consumer Electronics,-15,82.96572601673546,-3.1531220735106946
iPod Launch,2001,Consumer Electronics,-14,82.57981858675065,-0.4651407858553114
iPod Launch,2001,Consumer Electronics,-13,87.54106843446273,6.0078236215792336
iPod Launch,2001,Consumer Electronics,-12,88.97445375750155,1.6373861419248126
iPod Launch,2001,Consumer Electronics,-11,89.30531841978174,0.37186478624746666
iPod Launch,2001,Consumer Electronics,-10,88.20265533147929,-1.2347115578485002
iPod Launch,2001,Consumer Electronics,-9,92.7230809750984,5.125044848854787
iPod Launch,2001,Consumer Electronics,-8,97.7949038986582,5.469860222744183
iPod Launch,2001,Consumer Electronics,-7,99.28315121598064,1.521804570578289
iPod Launch,2001,Consumer Electronics,-6,99.1729561209223,-0.1109907307621727
iPod Launch,2001,Consumer Electronics,-5,99.28315121598064,0.11111405706609734
iPod Launch,2001,Consumer Electronics,-4,93.66035281712917,-5.663396386985764
iPod Launch,2001,Consumer Electronics,-3,99.22822896389002,5.944752479880222
iPod Launch,2001,Consumer Electronics,-2,100.88197708713322,1.666610540680935
iPod Launch,2001,Consumer Electronics,-1,104.85106023063622,3.934382788785773
iPod Launch,2001,Consumer Electronics,0,100.0,-4.626620102806345
iPod Launch,2001,Consumer Electronics,1,104.46514732266894,4.465147322668939
iPod Launch,2001,Consumer Electronics,2,105.78829920477224,1.2665964831470422
iPod Launch,2001,Consumer Electronics,3,102.92161620641389,-2.709829933846819
iPod Launch,2001,Consumer Electronics,4,97.18826116566208,-5.570603389333984
iPod Launch,2001,Consumer Electronics,5,97.02306712675876,-0.1699732425727185
iPod Launch,2001,Consumer Electronics,6,96.80239208155444,-0.22744595871825313
iPod Launch,2001,Consumer Electronics,7,102.48046332337364,5.865631127209636
iPod Launch,2001,Consumer Electronics,8,102.37024631638548,-0.10754928638482264
iPod Launch,2001,Consumer Electronics,9,105.12669039582588,2.692622298593794
iPod Launch,2001,Consumer Electronics,10,107.88289344403825,2.621791894936143
iPod Launch,2001,Consumer Electronics,11,107.99314331892114,0.10219402850932813
iPod Launch,2001,Consumer Electronics,12,103.14208308828492,-4.492007623400907
iPod Launch,2001,Consumer Electronics,13,103.14208308828492,0.0
iPod Launch,2001,Consumer Electronics,14,103.36246232243667,0.21366568092591187
iPod Launch,2001,Consumer Electronics,15,106.78047138696381,3.306818537144296
iPod Launch,2001,Consumer Electronics,16,108.10363422503202,1.239143095063877
iPod Launch,2001,Consumer Electronics,17,107.22132845895152,-0.8161666093887909
