Event,Date,Period,Volatility_Pct,Avg_Daily_Return_Pct
iPod Launch,2001-10-23,Pre-Event (30 days),3.6730588092656293,0.2033480701315142
iPod Launch,2001-10-23,Post-Event (30 days),3.3347806288208424,0.9566643904679246
iPhone Launch,2007-06-29,Pre-Event (30 days),1.8776427605509012,0.4049115290285565
iPhone Launch,2007-06-29,Post-Event (30 days),3.0135605468826476,0.1978757290944759
iPad Launch,2010-04-03,Pre-Event (30 days),1.1812757709583945,0.5107623929112204
iPad Launch,2010-04-03,Post-Event (30 days),2.5544794629071066,0.24420141886110605
iPhone 5S Touch ID,2013-09-20,Pre-Event (30 days),1.9815971523894524,0.09312229503889292
iPhone 5S Touch ID,2013-09-20,Post-Event (30 days),1.4435790526169927,0.36619619645976237
Apple Pay Launch,2014-10-20,Pre-Event (30 days),1.3737851674207877,-0.03494659246669696
Apple Pay Launch,2014-10-20,Post-Event (30 days),1.1259216339092155,0.4848475801481171
AirPods Launch,2016-12-13,Pre-Event (30 days),1.1995188851136274,0.011706401661440975
AirPods Launch,2016-12-13,Post-Event (30 days),0.5084553596203341,0.19151890707470365
M1 Chip Announcement,2020-11-10,Pre-Event (30 days),2.631273431959285,0.07837572822614033
M1 Chip Announcement,2020-11-10,Post-Event (30 days),1.6604102583263762,0.41921298677286073
Vision Pro Announcement,2023-06-05,Pre-Event (30 days),1.2501004180235438,0.28684817953475034
Vision Pro Announcement,2023-06-05,Post-Event (30 days),0.9050668422678749,0.28062179666928366
