Event,Date,Company,Event_Day_Return,Cumulative_Return_30d,Pre_Event_Volatility,Post_Event_Volatility,Volume_Change_Pct,Domain,Event_Type,Source,Analysis_Type,Return_Positive,Volatility_Change,Event_Day_Magnitude,Return_vs_EventDay,Momentum_Sustained,Event_Stage,Innovation_Score,Innovation_Category
CUDA Launch,2007-06-23,NVDA,-2.64,2.61,2.39,2.1,-16.47,GPU Computing,Platform Launch,NVIDIA,Single Company,True,-0.29000000000000004,2.64,5.25,True,Launch/Delivery,47.61,✅ Strong Innovation
Tesla V100 Launch,2017-05-10,NVDA,17.83,30.71,1.93,2.83,122.2,AI Hardware,Product Launch,NVIDIA,Single Company,True,0.9000000000000001,17.83,12.880000000000003,True,Launch/Delivery,75.0,🌟 Transformative
H100 Hopper Launch,2022-03-22,NVDA,-0.79,-23.34,4.66,4.18,3.84,AI Hardware,Product Launch,NVIDIA,Single Company,False,-0.4800000000000004,0.79,-22.55,False,Launch/Delivery,0.0,❌ Weak/Negative
DGX-1 Launch,2016-04-05,NVDA,,,,,,AI Hardware,Product Launch,NVIDIA,Single Company,False,,,,False,Launch/Delivery,,❌ Weak/Negative
RTX 2080 Ti Launch,2018-08-20,NVDA,1.23,15.65,1.53,1.73,15.32,Gaming/Graphics,Product Launch,NVIDIA,Single Company,True,0.19999999999999996,1.23,14.42,True,Launch/Delivery,60.65,🌟 Transformative
A100 Ampere Launch,2020-05-14,NVDA,3.22,14.05,3.89,2.64,15.88,AI Hardware,Product Launch,NVIDIA,Single Company,True,-1.25,3.22,10.83,True,Launch/Delivery,64.05,🌟 Transformative
Arm Acquisition Announcement,2020-09-13,NVDA,5.82,2.09,3.46,2.29,-12.37,M&A/Corporate,Acquisition,NVIDIA,Single Company,True,-1.17,5.82,-3.7300000000000004,False,Launch/Delivery,32.09,🔶 Moderate
Blackwell B200 Announcement,2024-03-18,NVDA,0.7,-2.32,4.14,3.22,-19.53,AI Hardware,Product Launch,NVIDIA,Single Company,False,-0.9199999999999995,0.7,-3.0199999999999996,False,Launch/Delivery,7.68,❌ Weak/Negative
Autopilot Announcement,2014-10-10,TSLA,-7.82,2.48,2.59,2.98,1.48,Autonomous Driving,Product Announcement,Tesla,Single Company,True,0.3900000000000001,7.82,10.3,True,Announcement/Reveal,47.480000000000004,✅ Strong Innovation
Model 3 First Deliveries,2017-07-28,TSLA,0.18,8.54,2.57,2.39,-31.96,Electric Vehicles,Product Launch,Tesla,Single Company,True,-0.17999999999999972,0.18,8.36,True,Launch/Delivery,53.54,✅ Strong Innovation
