Event,Date,Period,Volatility_Pct,Avg_Daily_Return_Pct
CUDA Launch,2007-06-23,Pre-Event (30 days),2.394559992492395,0.9797994068170606
CUDA Launch,2007-06-23,Post-Event (30 days),2.101787012294171,0.10762793354970729
Tesla V100 Launch,2017-05-10,Pre-Event (30 days),1.9298471841401255,-0.14918164726339295
Tesla V100 Launch,2017-05-10,Post-Event (30 days),2.829283493757229,0.9355417679450452
H100 Hopper Launch,2022-03-22,Pre-Event (30 days),4.655612512338172,0.4206605906105024
H100 Hopper Launch,2022-03-22,Post-Event (30 days),4.177941184361938,-0.7983191214040556
DGX-1 Launch,2016-04-05,Pre-Event (30 days),1.4626336142585041,0.5644770790295406
DGX-1 Launch,2016-04-05,Post-Event (30 days),3.0788840254126106,0.6033324811431514
RTX 2080 Ti Launch,2018-08-20,Pre-Event (30 days),1.5337036698263296,-0.022483368752159758
RTX 2080 Ti Launch,2018-08-20,Post-Event (30 days),1.7342144494543497,0.5003269729019748
A100 Ampere Launch,2020-05-14,Pre-Event (30 days),3.8926359962609447,0.6277240736594607
A100 Ampere Launch,2020-05-14,Post-Event (30 days),2.6370745097238424,0.4729709083542148
Arm Acquisition Announcement,2020-09-13,Pre-Event (30 days),3.4605527579131583,0.5148021890443122
Arm Acquisition Announcement,2020-09-13,Post-Event (30 days),2.291451742004819,0.09436792299640784
Blackwell B200 Announcement,2024-03-18,Pre-Event (30 days),4.138809730919527,1.1914765987987506
Blackwell B200 Announcement,2024-03-18,Post-Event (30 days),3.2230578400761236,-0.027203373651865124
