Event,Event_Label,Event_Date,Category,Day,Cumulative_Return,Price
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-30,-17.26,0.54
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-29,-18.08,0.53
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-28,-18.81,0.53
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-27,-17.78,0.53
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-26,-19.14,0.52
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-25,-17.54,0.54
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-24,-17.28,0.54
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-23,-16.84,0.54
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-22,-19.05,0.53
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-21,-21.97,0.51
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-20,-20.74,0.51
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-19,-19.9,0.52
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-18,-19.71,0.52
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-17,-18.44,0.53
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-16,-17.87,0.53
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-15,-17.42,0.54
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-14,-14.98,0.55
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-13,-14.34,0.56
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-12,-15.26,0.55
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-11,-13.94,0.56
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-10,-13.63,0.56
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-9,-14.53,0.55
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-8,-12.48,0.57
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-7,-10.93,0.58
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-6,-6.88,0.6
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-5,-6.83,0.6
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-4,-6.24,0.61
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-3,-6.15,0.61
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-2,1.2,0.66
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,-1,2.71,0.67
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,0,0.0,0.65
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,1,-4.64,0.62
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,2,-2.07,0.64
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,3,-1.13,0.64
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,4,-2.73,0.63
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,5,1.32,0.66
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,6,1.48,0.66
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,7,2.57,0.67
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,8,3.06,0.67
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,9,6.05,0.69
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,10,7.09,0.69
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,11,6.62,0.69
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,12,8.67,0.71
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,13,8.01,0.7
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,14,9.96,0.71
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,15,9.49,0.71
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,16,7.49,0.7
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,17,7.37,0.7
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,18,6.19,0.69
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,19,7.25,0.7
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,20,4.43,0.68
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,21,3.93,0.67
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,22,4.45,0.68
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,23,4.19,0.68
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,24,7.11,0.7
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,25,7.75,0.7
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,26,6.95,0.69
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,27,6.48,0.69
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,28,0.16,0.65
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,29,1.01,0.66
CUDA Launch,CUDA Launch (2007),"June 23, 2007",GPU Computing,30,2.61,0.67
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-30,-11.21,2.66
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-29,-11.5,2.65
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-28,-9.8,2.7
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-27,-10.19,2.69
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-26,-10.64,2.67
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-25,-16.91,2.49
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-24,-17.53,2.47
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-23,-16.93,2.48
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-22,-17.28,2.47
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-21,-19.39,2.41
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-20,-19.1,2.42
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-19,-19.77,2.4
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-18,-21.27,2.35
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-17,-18.19,2.45
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-16,-18.14,2.45
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-15,-17.82,2.46
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-14,-16.51,2.5
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-13,-16.17,2.51
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-12,-15.12,2.54
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-11,-13.64,2.58
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-10,-14.24,2.56
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-9,-12.9,2.6
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-8,-14.01,2.57
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-7,-12.08,2.63
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-6,-14.68,2.55
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-5,-14.05,2.57
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-4,-14.38,2.56
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-3,-14.37,2.56
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-2,-15.27,2.53
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,-1,-15.13,2.54
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,0,0.0,2.99
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,1,4.3,3.12
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,2,5.44,3.15
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,3,10.73,3.31
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,4,12.8,3.37
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,5,5.3,3.15
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,6,9.71,3.28
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,7,12.25,3.36
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,8,14.64,3.43
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,9,13.1,3.38
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,10,14.37,3.42
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,11,14.11,3.41
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,12,17.07,3.5
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,13,19.57,3.58
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,14,19.14,3.56
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,15,19.15,3.56
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,16,18.55,3.55
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,17,22.16,3.65
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,18,21.61,3.64
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,19,23.07,3.68
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,20,32.0,3.95
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,21,23.47,3.69
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,22,23.78,3.7
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,23,24.96,3.74
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,24,25.22,3.75
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,25,25.76,3.76
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,26,25.14,3.74
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,27,29.84,3.88
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,28,29.65,3.88
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,29,31.62,3.94
Tesla V100 Launch,Tesla V100 Launch (2017),"May 10, 2017",AI Hardware,30,30.71,3.91
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-30,0.57,6.17
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-29,2.18,6.27
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-28,-0.13,6.13
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-27,1.37,6.22
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-26,0.6,6.17
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-25,0.15,6.14
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-24,2.36,6.28
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-23,1.56,6.23
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-22,1.69,6.24
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-21,1.23,6.21
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-20,0.63,6.17
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-19,0.35,6.16
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-18,1.63,6.23
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-17,2.82,6.31
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-16,1.69,6.24
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-15,-1.5,6.04
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-14,-1.2,6.06
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-13,-0.55,6.1
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-12,1.12,6.2
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-11,1.72,6.24
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-10,2.5,6.29
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-9,3.68,6.36
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-8,4.27,6.4
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-7,3.48,6.35
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-6,2.8,6.31
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-5,3.34,6.34
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-4,5.48,6.47
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-3,4.54,6.41
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-2,3.87,6.37
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,-1,-1.22,6.06
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,0,0.0,6.13
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,1,2.21,6.27
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,2,6.04,6.51
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,3,7.67,6.61
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,4,9.84,6.74
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,5,11.32,6.83
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,6,10.71,6.79
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,7,12.43,6.9
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,8,12.15,6.88
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,9,13.31,6.95
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,10,14.53,7.03
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,11,12.4,6.9
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,12,10.1,6.75
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,13,9.75,6.73
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,14,10.91,6.8
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,15,10.13,6.76
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,16,8.27,6.64
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,17,9.54,6.72
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,18,11.6,6.85
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,19,10.59,6.78
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,20,9.41,6.71
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,21,9.8,6.74
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,22,7.5,6.6
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,23,6.36,6.52
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,24,7.26,6.58
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,25,8.36,6.65
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,26,7.76,6.61
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,27,7.95,6.62
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,28,13.45,6.96
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,29,16.82,7.17
RTX 2080 Ti Launch,RTX 2080 Ti Launch (2018),"August 20, 2018",Gaming/Graphics,30,15.65,7.1
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-30,-24.33,6.05
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-29,-20.47,6.36
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-28,-24.07,6.07
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-27,-16.44,6.68
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-26,-19.36,6.45
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-25,-16.89,6.65
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-24,-18.14,6.55
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-23,-15.99,6.72
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-22,-11.6,7.07
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-21,-12.57,6.99
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-20,-8.26,7.34
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-19,-9.0,7.28
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-18,-10.64,7.15
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-17,-16.1,6.71
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-16,-10.92,7.13
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-15,-11.58,7.07
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-14,-9.85,7.21
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-13,-7.52,7.4
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-12,-9.3,7.26
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-11,-7.09,7.43
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-10,-9.01,7.28
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-9,-11.97,7.04
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-8,-9.32,7.25
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-7,-8.55,7.32
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-6,-7.29,7.42
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-5,-5.09,7.59
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-4,-2.71,7.78
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-3,0.44,8.03
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-2,-2.84,7.77
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,-1,-3.12,7.75
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,0,0.0,8.0
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,1,5.73,8.46
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,2,8.96,8.72
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,3,9.65,8.77
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,4,11.7,8.94
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,5,9.27,8.74
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,6,12.4,8.99
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,7,8.56,8.68
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,8,6.16,8.49
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,9,5.68,8.45
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,10,10.52,8.84
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,11,9.66,8.77
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,12,9.9,8.79
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,13,9.2,8.74
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,14,9.21,8.74
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,15,11.13,8.89
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,16,9.69,8.78
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,17,12.7,9.02
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,18,16.69,9.33
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,19,9.59,8.77
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,20,11.28,8.9
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,21,14.29,9.14
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,22,12.98,9.04
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,23,15.06,9.2
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,24,14.84,9.19
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,25,15.38,9.23
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,26,18.69,9.49
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,27,17.73,9.42
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,28,15.06,9.2
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,29,18.23,9.46
A100 Ampere Launch,A100 Ampere Launch (2020),"May 14, 2020",AI Hardware,30,14.05,9.12
Arm Acquisition Announcement,Arm Acquisition Announcement (2020),"September 13, 2020",M&A/Corporate,-30,-17.56,10.58
Arm Acquisition Announcement,Arm Acquisition Announcement (2020),"September 13, 2020",M&A/Corporate,-29,-14.49,10.97
