Date,Price_USD,Cumulative_Return_Pct,Month
2022-01-03,30.06,0.0,2022-01
2022-01-04,29.23,-2.76,2022-01
2022-01-05,27.55,-8.36,2022-01
2022-01-06,28.12,-6.45,2022-01
2022-01-07,27.19,-9.54,2022-01
2022-01-10,27.35,-9.03,2022-01
2022-01-11,27.76,-7.65,2022-01
2022-01-12,27.94,-7.04,2022-01
2022-01-13,26.52,-11.77,2022-01
2022-01-14,26.89,-10.55,2022-01
2022-01-18,25.85,-14.0,2022-01
2022-01-19,25.02,-16.78,2022-01
2022-01-20,24.1,-19.82,2022-01
2022-01-21,23.33,-22.4,2022-01
2022-01-24,23.33,-22.41,2022-01
2022-01-25,22.28,-25.89,2022-01
2022-01-26,22.73,-24.4,2022-01
2022-01-27,21.9,-27.15,2022-01
2022-01-28,22.8,-24.17,2022-01
2022-01-31,24.44,-18.71,2022-01
2022-02-01,24.59,-18.2,2022-02
2022-02-02,25.19,-16.2,2022-02
2022-02-03,23.9,-20.49,2022-02
2022-02-04,24.27,-19.26,2022-02
2022-02-07,24.68,-17.9,2022-02
2022-02-08,25.06,-16.64,2022-02
2022-02-09,26.65,-11.34,2022-02
2022-02-10,25.77,-14.27,2022-02
2022-02-11,23.9,-20.49,2022-02
2022-02-14,24.22,-19.43,2022-02
2022-02-15,26.44,-12.04,2022-02
2022-02-16,26.46,-11.98,2022-02
2022-02-17,24.46,-18.64,2022-02
2022-02-18,23.6,-21.51,2022-02
2022-02-22,23.34,-22.35,2022-02
2022-02-23,22.34,-25.68,2022-02
2022-02-24,23.7,-21.16,2022-02
2022-02-25,24.11,-19.8,2022-02
2022-02-28,24.34,-19.04,2022-02
2022-03-01,23.43,-22.06,2022-03
2022-03-02,24.18,-19.58,2022-03
2022-03-03,23.67,-21.26,2022-03
2022-03-04,22.9,-23.84,2022-03
2022-03-07,21.31,-29.1,2022-03
2022-03-08,21.48,-28.56,2022-03
2022-03-09,22.97,-23.58,2022-03
2022-03-10,22.62,-24.76,2022-03
