Month,Month_Label,Date,Price_USD,Cumulative_Return_Pct
2022-01,Jan 2022,2022-01-31,24.44,-18.7
2022-02,Feb 2022,2022-02-28,24.34,-19.0
2022-03,Mar 2022,2022-03-31,27.24,-9.4
2022-04,Apr 2022,2022-04-29,18.51,-38.4
2022-05,May 2022,2022-05-31,18.64,-38.0
2022-06,Jun 2022,2022-06-30,15.14,-49.6
2022-07,Jul 2022,2022-07-29,18.13,-39.7
2022-08,Aug 2022,2022-08-31,15.07,-49.9
2022-09,Sep 2022,2022-09-30,12.12,-59.7
2022-10,Oct 2022,2022-10-31,13.48,-55.2
2022-11,Nov 2022,2022-11-30,16.91,-43.7
2022-12,Dec 2022,2022-12-30,14.6,-51.4
2023-01,Jan 2023,2023-01-31,19.52,-35.1
2023-02,Feb 2023,2023-02-28,23.19,-22.9
2023-03,Mar 2023,2023-03-31,27.75,-7.7
2023-04,Apr 2023,2023-04-28,27.73,-7.8
2023-05,May 2023,2023-05-31,37.8,25.7
2023-06,Jun 2023,2023-06-30,42.27,40.6
2023-07,Jul 2023,2023-07-31,46.7,55.4
2023-08,Aug 2023,2023-08-31,49.32,64.1
2023-09,Sep 2023,2023-09-29,43.47,44.6
2023-10,Oct 2023,2023-10-31,40.75,35.6
2023-11,Nov 2023,2023-11-30,46.74,55.5
2023-12,Dec 2023,2023-12-29,49.49,64.6
2024-01,Jan 2024,2024-01-31,61.49,104.6
2024-02,Feb 2024,2024-02-29,79.07,163.0
2024-03,Mar 2024,2024-03-28,90.31,200.4
2024-04,Apr 2024,2024-04-30,86.36,187.3
2024-05,May 2024,2024-05-31,109.58,264.5
2024-06,Jun 2024,2024-06-28,123.49,310.8
2024-07,Jul 2024,2024-07-31,116.97,289.1
2024-08,Aug 2024,2024-08-30,119.32,296.9
2024-09,Sep 2024,2024-09-30,121.4,303.9
2024-10,Oct 2024,2024-10-31,132.71,341.5
2024-11,Nov 2024,2024-11-29,138.2,359.7
2024-12,Dec 2024,2024-12-31,134.25,346.6
2025-01,Jan 2025,2025-01-31,120.04,299.3
2025-02,Feb 2025,2025-02-28,124.89,315.5
2025-03,Mar 2025,2025-03-31,108.36,260.5
2025-04,Apr 2025,2025-04-30,108.9,262.3
2025-05,May 2025,2025-05-30,135.11,349.5
2025-06,Jun 2025,2025-06-30,157.97,425.5
2025-07,Jul 2025,2025-07-31,177.85,491.7
2025-08,Aug 2025,2025-08-29,174.16,479.4
2025-09,Sep 2025,2025-09-30,186.57,520.7
2025-10,Oct 2025,2025-10-31,202.48,573.6
2025-11,Nov 2025,2025-11-28,176.99,488.8
2025-12,Dec 2025,2025-12-09,184.97,515.3
