Day_Relative_to_Event,Autopilot Announcement,Model 3 First Deliveries,Cybertruck Reveal,Tesla Bot Announcement,Dojo Supercomputer Announcement,Cybertruck Deliveries Begin,Optimus Gen 2 Reveal,FSD v12 Wide Rollout
-30,11.375636887379414,12.018388692525207,-31.026123011815553,-3.067696915283169,-3.067696915283169,1.0829685208667117,-16.068368100234476,8.1185272512047
-29,13.840698465915136,10.84251480056646,-30.138377790340055,-2.4529680413714394,-2.4529680413714394,-8.318061091467378,-14.054072701573494,4.177211955901927
-28,19.927403850769586,10.365003080293844,-27.5822198420007,1.8159651015617895,1.8159651015617895,-11.700264963200757,-8.684023303243205,6.501727763717402
-27,18.690646316944616,11.093207599851262,-27.32012133001812,-0.7320330634956296,-0.7320330634956296,-11.662778984691824,-8.078058888635454,7.928652783275947
-26,20.73782777573787,12.3347346571268,-26.795924306052942,-2.9830595431253992,-2.9830595431253992,-9.813394443062784,-8.366412961419922,9.067890811338252
-25,17.08665713958444,14.188085346553336,-26.170277596560034,-3.395846855295448,-3.395846855295448,-11.521161050962437,-7.150320151454115,11.375146102024747
-24,19.078975454026327,14.438778145838139,-27.58504192036143,-4.3431777635627995,-4.3431777635627995,-14.295237863405996,-7.179570043799599,8.245110229823883
-23,17.546744322832964,12.660046133964386,-28.55733660952442,-4.046212875225741,-4.046212875225741,-13.653781460050263,-12.248735166934498,5.880322808544247
-22,18.65265392158266,8.147558669671673,-27.97113449243348,-1.925846868209924,-1.925846868209924,-17.79406901652949,-10.297129040488118,8.578828193500755
-21,18.319187928852298,10.794758505389336,-28.224782895495938,-2.699457734908983,-2.699457734908983,-16.344553979459487,-6.510922733670577,15.333713134946247
-20,17.850659332902573,7.664069941241736,-15.542653013290298,-3.5948180884446956,-3.5948180884446956,-14.336886832068096,-0.7856532562042551,15.046026143450009
-19,7.154616550035686,7.920731210100795,-7.5247252364034845,-4.467904376082476,-4.467904376082476,-8.984508147162396,1.4835568353720685,11.484459784004741
-18,10.058679894686428,5.237712018354546,-7.643091265933554,-2.3534858233421163,-2.3534858233421163,-8.380537722315594,-2.3820456802079337,12.065593125713715
-17,10.328817177538197,-2.381590131788758,-10.881264923251155,-4.2600289542465415,-4.2600289542465415,-8.667942935637695,-2.0853317624561885,13.584580089633524
-16,11.35874198556397,-7.83119562790392,-11.22226874619977,-3.9333607799851733,-3.9333607799851733,-7.455851807211222,-1.542056620063026,10.454544217432638
-15,9.459291287248405,-6.521026901232929,-11.247635199122218,0.5761213993007219,0.5761213993007219,-7.485005449703674,0.7981962120018338,14.729568696902074
-14,5.5379712918302015,-5.676424417102954,-11.701377021041493,2.038692166359879,2.038692166359879,-12.537489950827773,-2.1229414997689378,14.919443164830826
-13,5.698370209566228,-2.3427908102645723,-10.52898084994066,5.375146043987922,5.375146043987922,-10.59230578999475,-1.6047458922776259,16.248555660821886
-12,6.428606752079502,-1.656365577726937,-10.599436051986554,5.385538795516132,5.385538795516132,-6.818558394008645,-1.3414649777016563,16.15650249597087
-11,4.237897124539636,-3.479865380699132,-7.961558777401478,5.560747399925936,5.560747399925936,-1.112128519069322,3.105022417584258,16.593783562421493
-10,4.090166364061942,-2.1756651236023994,-5.436403375624998,6.111631201826895,6.111631201826895,1.149614497578244,2.026831977765231,8.250860809030103
-9,3.5245554838417847,-4.62589692478661,-4.985483632066456,3.8056638388730635,3.8056638388730635,-2.7032678455788717,0.33014692092754316,3.9930968466896477
-8,2.4355287104945056,-2.0383732462283977,-2.7449711168342827,5.982445697873273,5.982445697873273,-2.40753029624029,-0.19223179739408236,1.5765190945129293
-7,1.4056039024687106,-2.927743521456816,-1.3809396988777922,5.422657707285605,5.422657707285605,-1.866042857951844,-1.5504164650303132,2.7905585498075203
-6,6.124691742009891,-1.536987647658783,-2.4575142150102813,5.100448424458182,5.100448424458182,0.46650912556043256,-0.23820137967411892,0.8860720708239622
-5,7.724454174812956,-1.990625489634379,-1.5443944775312968,7.24308170028134,7.24308170028134,-2.445016274749212,0.03343300317577569,2.284235414841085
-4,10.008019342066143,2.2234214187795143,-0.7496488326634076,6.488781367978369,6.488781367978369,-1.9285258445102205,1.3999775157792937,2.151893077505429
