Event,Year,Domain,Day,Normalized_Price,Daily_Return_Pct
Autopilot Announcement,2014,Autonomous Driving,-30,111.37563688737941,0.23172928385630787
Autopilot Announcement,2014,Autonomous Driving,-29,113.84069846591514,2.213286179479579
Autopilot Announcement,2014,Autonomous Driving,-28,119.9274038507696,5.346686612852136
Autopilot Announcement,2014,Autonomous Driving,-27,118.69064631694461,-1.0312551544632176
Autopilot Announcement,2014,Autonomous Driving,-26,120.73782777573787,1.7248043736543428
Autopilot Announcement,2014,Autonomous Driving,-25,117.08665713958443,-3.0240486377933085
Autopilot Announcement,2014,Autonomous Driving,-24,119.07897545402632,1.701575878169237
Autopilot Announcement,2014,Autonomous Driving,-23,117.54674432283296,-1.2867352321022762
Autopilot Announcement,2014,Autonomous Driving,-22,118.65265392158267,0.9408253755734952
Autopilot Announcement,2014,Autonomous Driving,-21,118.3191879288523,-0.2810438550752914
Autopilot Announcement,2014,Autonomous Driving,-20,117.85065933290258,-0.39598699429163053
Autopilot Announcement,2014,Autonomous Driving,-19,107.15461655003568,-9.075929522509396
Autopilot Announcement,2014,Autonomous Driving,-18,110.05867989468643,2.710161669324518
Autopilot Announcement,2014,Autonomous Driving,-17,110.3288171775382,0.2454484127106138
Autopilot Announcement,2014,Autonomous Driving,-16,111.35874198556397,0.9335048035260529
Autopilot Announcement,2014,Autonomous Driving,-15,109.4592912872484,-1.7057041633622205
Autopilot Announcement,2014,Autonomous Driving,-14,105.5379712918302,-3.582445993668726
Autopilot Announcement,2014,Autonomous Driving,-13,105.69837020956624,0.15198218780658745
Autopilot Announcement,2014,Autonomous Driving,-12,106.4286067520795,0.6908683086271461
Autopilot Announcement,2014,Autonomous Driving,-11,104.23789712453964,-2.058384201761687
Autopilot Announcement,2014,Autonomous Driving,-10,104.09016636406194,-0.14172461700872052
Autopilot Announcement,2014,Autonomous Driving,-9,103.52455548384178,-0.5433855089076345
Autopilot Announcement,2014,Autonomous Driving,-8,102.43552871049451,-1.051950204719554
